Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
iRECEIVER_CTRL,4,16,1,1,17
n92,2,6,1,1,16
n91,4,12,1,1,13
n94,3,7,1,1,8
n93,3,7,1,1,15
n96,3,3,2,4,5
iRECEIVER_state_2_,3,3,2,4,17
test_point_DOUT,3,4,1,1,3
rec_dataH_rec[1],3,3,1,1,31
test_si,0,0,0,0,0
iXMIT_xmit_ShiftRegH_7_,3,3,1,1,4
iRECEIVER_bitCell_CTRL,4,10,1,1,21
rec_dataH_temp[2],3,6,1,1,21
test_so,1,3,1,1,10
test_se,0,0,0,0,0
iRECEIVER_state_1_,3,3,2,4,10
iXMIT_xmit_ShiftRegH_6_,3,3,2,4,4
iRECEIVER_rec_datH,3,3,2,4,3
n401,3,3,1,1,5
rec_dataH_temp[1],3,6,1,1,21
rec_dataH_rec[0],3,3,1,1,35
rec_dataH[0],3,3,1,1,8
iXMIT_next_state_1_,2,6,1,1,10
iRECEIVER_state_0_,3,3,2,4,11
rec_dataH_rec[3],3,3,1,1,23
rec_dataH_temp[0],3,6,1,1,21
iXMIT_CRTL,4,12,1,1,1
iXMIT_next_state_2_,1,4,1,1,8
rec_dataH_rec[2],3,3,1,1,27
iRECEIVER_recd_bitCntrH_0_,3,3,2,4,5
iXMIT_N28,2,5,1,1,10
iXMIT_N29,2,5,1,1,9
iXMIT_N26,2,6,1,1,13
iXMIT_N27,2,5,1,1,8
xmit_dataH[0],0,0,0,0,0
iXMIT_N24,2,5,1,1,15
iXMIT_N25,2,5,1,1,15
iXMIT_N23,2,6,1,1,15
iXMIT_bitCell_cntrH_0_,3,3,2,4,4
iRECEIVER_recd_bitCntrH_1_,3,3,1,1,10
test_mode,0,0,0,0,0
n214,1,4,1,1,15
rec_dataH_rec[5],3,3,1,1,15
n211,2,5,1,1,2
n217,1,4,1,1,21
iXMIT_next_state_0_,2,7,1,1,8
iRECEIVER_recd_bitCntrH_2_,3,3,2,4,6
rec_dataH_rec[4],3,3,1,1,19
1'b0,0,0,0,0,0
iXMIT_bitCell_cntrH_1_,3,3,2,4,8
1'b1,0,0,0,0,0
n202,3,8,1,1,2
uart_XMIT_dataH,3,8,1,1,4
n205,3,8,1,1,2
n208,3,8,1,1,2
xmit_dataH[2],0,0,0,0,0
iXMIT_N46,2,5,1,1,18
iXMIT_N44,2,6,1,1,18
iXMIT_N45,2,5,1,1,6
iRECEIVER_recd_bitCntrH_3_,3,3,1,1,17
iXMIT_bitCell_cntrH_2_,3,3,2,4,5
iRECEIVER_next_state_0_,4,13,1,1,26
rec_dataH_rec[7],3,3,1,1,7
sys_clk,0,0,0,0,0
n239,3,3,2,4,10
n118,3,6,1,1,3
n119,3,3,1,1,1
n116,1,4,1,1,33
n238,3,3,2,4,17
rec_readyH,3,3,1,1,20
xmit_dataH[1],0,0,0,0,0
n220,1,4,1,1,21
n100,1,4,1,1,15
iRECEIVER_next_state_1_,4,8,1,1,8
n103,1,4,1,1,10
rec_dataH_rec[6],3,3,1,1,11
iXMIT_bitCell_cntrH_3_,3,3,1,1,14
n223,1,4,1,1,18
n106,1,4,1,1,24
n109,1,4,1,1,11
xmit_dataH[4],0,0,0,0,0
rec_dataH[6],3,3,1,1,15
iRECEIVER_bitCell_cntrH_2_,3,3,2,4,5
n260,3,3,2,4,4
n10,4,10,1,1,9
n261,3,3,2,4,4
n140,3,6,1,1,13
n12,4,10,1,1,10
n11,4,11,1,1,23
n253,3,3,2,4,17
n132,3,4,1,1,34
n254,3,3,2,4,14
n133,3,6,1,1,9
n130,1,4,1,1,25
n251,3,3,2,4,13
n252,3,3,2,4,5
n15,3,9,1,1,11
n131,3,6,1,1,22
n257,3,3,2,4,4
n18,1,2,1,1,19
n136,3,6,1,1,11
iRECEIVER_next_state_2_,2,3,1,1,15
n137,1,4,1,1,21
n258,3,3,2,4,4
n17,4,9,1,1,32
n255,3,3,2,4,2
n134,3,6,1,1,22
n256,3,3,2,4,5
n19,4,9,1,1,28
n135,3,4,1,1,30
