Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
g105,4,8,3,0,10
g104,0,0,1,0,0
g103,0,0,1,0,0
n1390,4,11,2,0,23
g102,0,0,1,0,0
g101,0,0,1,0,0
g100,0,0,1,0,0
n1396,2,2,4,0,2
n1395,3,6,2,0,2
g4556,2,8,1,0,2
n1398,3,10,1,0,8
n1397,3,10,1,0,8
g6733,3,7,1,0,18
n1392,3,3,1,0,7
n1391,4,7,2,0,4
g5404,4,7,2,0,6
n1394,3,8,1,0,9
n1393,2,5,1,0,10
n1399,2,8,1,0,8
g109,0,0,2,0,0
g8921,3,10,2,0,24
g575,4,8,4,0,10
g8920,3,4,1,0,9
g572,4,8,3,0,10
n1385,3,12,4,0,18
g8926,3,4,2,0,9
n1384,2,5,3,0,6
n1387,3,9,1,0,19
n1386,4,12,1,0,19
g8923,3,4,2,0,9
n1381,4,12,1,0,8
g8922,3,10,2,0,21
n1380,2,6,2,0,18
n1383,2,5,1,0,19
g6747,3,7,2,0,13
n1382,2,2,3,0,5
n1389,2,5,1,0,14
n1388,2,6,1,0,15
g127,4,6,2,0,7
g123,4,7,3,0,4
g1023,4,8,4,0,7
g1027,4,8,4,0,7
g2355,1,1,12,0,3
g10898,4,8,1,0,12
g599,4,6,6,0,4
g113,4,6,4,0,8
g1032,4,8,3,0,7
g591,4,6,6,0,4
g6728,3,5,1,0,23
g119,4,7,4,0,6
g148,4,6,5,0,5
g1482,4,6,5,0,7
g143,4,6,6,0,9
g1486,4,6,4,0,7
g1003,4,8,4,0,7
g5849,2,5,2,0,9
g1490,4,6,4,0,5
g135,4,6,5,0,5
g1011,4,8,5,0,7
g131,4,6,5,0,7
g1494,4,6,5,0,7
g1499,4,6,5,0,7
g1015,4,8,4,0,7
g1019,4,8,5,0,7
DFF_350_n1,4,8,1,0,6
g139,4,6,5,0,7
Trigger_select,2,3,1,0,13
g1462,4,6,4,0,7
g166,4,6,5,0,11
g1466,4,6,4,0,7
g162,4,6,4,0,7
g10858,4,10,1,0,9
g10859,4,11,1,0,12
g10855,4,10,1,0,15
g10860,4,10,1,0,6
g1470,4,6,4,0,5
g10861,4,11,1,0,11
g158,4,6,5,0,7
g10862,4,10,1,0,5
g10863,4,10,1,0,9
g1474,4,6,4,0,7
g153,4,6,6,0,7
g1478,4,6,5,0,7
g4500,2,5,2,0,10
g4506,2,5,2,0,6
g10864,4,10,1,0,42
g10865,4,10,1,0,12
g10866,4,10,1,0,12
g11324,4,10,2,0,42
g11325,4,10,1,0,69
g1440,4,6,4,0,7
g11320,2,3,1,0,22
g186,4,6,4,0,11
g1444,4,6,5,0,7
