Netlist,LOFi1,LOFi2,PI
g587,4,8,10
g30482,4,8,13
g586,4,8,15
g3223,0,0,0
g585,4,8,13
DFF_313_n1,4,8,6
g3222,0,0,0
g584,4,8,17
g30485,4,8,11
g3221,0,0,0
g583,4,8,15
g3220,0,0,0
g582,4,8,13
g30487,4,8,11
g3227,0,0,0
g581,4,8,17
n4422,4,6,16
g3226,0,0,0
n4423,4,6,4
g3225,0,0,0
n4420,4,6,16
g3224,0,0,0
n4421,4,6,16
g3229,0,0,0
g3228,0,0,0
n4428,4,8,15
n4429,4,8,15
n4426,4,8,15
n4427,4,8,15
n4424,4,8,30
n4425,4,8,30
DFF_795_n1,4,8,7
g3230,0,0,0
g578,4,4,1
g577,4,8,15
g30470,4,8,15
g576,4,8,13
g575,4,8,17
g3234,0,0,0
g574,4,8,7
g3233,0,0,0
g573,4,8,10
DFF_1_n1,4,6,4
g3232,0,0,0
g572,4,8,9
g3231,0,0,0
g571,4,8,9
g570,4,8,8
n4411,4,7,20
n4412,4,7,20
n4410,4,7,20
n4419,4,6,16
n4417,4,6,16
n4418,4,6,16
DFF_301_n1,4,8,6
n4415,4,6,16
n4416,4,2,16
n4413,4,7,20
n4414,4,7,20
g579,4,8,13
g3201,4,8,25
n3113,2,4,15
n4444,4,8,15
g3204,4,8,10
DFF_783_n1,4,8,17
n3114,3,13,15
n4445,4,8,12
n3111,2,5,14
n4442,4,8,13
n3112,2,4,13
n4443,4,8,15
n4440,4,8,17
n3110,2,10,13
n4441,4,8,15
g3207,4,8,17
n3119,2,12,12
n3117,5,9,14
n4448,4,8,17
n3118,2,5,13
n4449,4,8,11
n3115,5,9,14
n4446,4,8,12
n3116,3,6,14
n4447,4,8,17
g599,4,8,12
g3212,0,0,0
g596,4,8,10
g3211,4,4,12
g593,4,8,14
g3216,0,0,0
n3102,2,10,28
n4433,4,8,17
g3215,0,0,0
n3103,3,13,7
n4434,4,8,13
g3214,0,0,0
g590,4,8,12
n3100,2,2,12
n4431,4,7,15
g3213,0,0,0
n3101,3,9,9
n4432,4,10,11
g3219,0,0,0
n4430,4,10,13
g3218,0,0,0
g3217,0,0,0
n3108,2,5,5
n4439,4,8,13
n3109,2,7,12
n3106,5,10,14
n4437,4,8,13
n3107,2,10,13
n4438,4,8,17
n3104,5,10,6
n4435,4,4,12
n3105,3,5,14
n4436,4,8,13
g1481,4,8,3
n3135,2,10,13
n4466,4,8,6
n3136,2,5,14
n4467,4,6,16
g1486,4,8,3
n3133,3,5,15
