Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
g30480,2,7,2,8,18
g30481,6,14,1,4,13
g30482,6,14,1,5,13
g30483,6,14,1,4,13
g30484,6,14,1,4,13
g30485,6,15,1,4,9
g30486,6,15,1,5,9
g30487,6,15,1,5,9
g8916,4,8,4,12,6
n4422,3,7,1,6,20
n5754,4,6,2,2,19
g8915,4,8,4,11,5
n4423,3,5,1,1,19
n5753,4,10,2,4,36
g8918,4,8,3,9,9
n4420,3,12,1,1,11
n5752,4,8,2,2,17
g8917,4,8,4,14,7
n4421,3,12,1,1,11
n5751,4,6,2,3,4
n5750,4,3,2,3,7
n4428,5,13,1,1,22
n4429,4,12,1,1,23
n5759,4,8,2,3,15
n4426,3,10,2,2,25
n5758,4,8,2,3,15
g8919,4,8,3,8,10
n4427,5,15,1,1,19
n5757,4,8,2,12,26
n4424,3,6,1,1,27
n5756,4,7,2,2,23
n4425,2,4,1,1,26
n5755,4,7,2,2,28
g30488,6,15,1,5,9
g30489,6,15,1,5,9
g13906,4,8,2,9,33
g30470,6,15,1,5,9
g30471,6,15,1,4,9
g8920,4,8,3,11,11
g30472,6,15,1,5,9
g30473,6,15,1,5,9
g30474,6,15,1,5,9
g30475,6,15,1,5,9
g30476,6,14,1,4,13
n4411,2,8,3,13,10
n5743,4,10,2,2,4
n4412,3,5,1,1,12
n5742,4,10,2,2,20
n5741,4,8,2,3,6
n4410,2,6,1,6,20
n5740,4,8,2,3,6
n4419,2,6,1,1,12
n4417,5,13,1,1,15
n5749,4,10,2,2,10
n4418,4,12,1,1,16
n5748,4,10,2,2,33
n4415,3,10,2,2,16
n5747,4,10,2,2,14
n4416,5,15,1,1,12
n5746,4,10,2,2,19
n4413,3,6,1,1,18
n5745,4,10,2,2,13
n4414,2,4,1,1,17
n5744,4,10,2,2,45
g30477,6,14,1,5,38
g30478,6,14,1,5,40
g30479,6,12,1,5,8
n3113,4,10,1,2,38
n4444,2,6,1,6,20
n5776,4,8,2,3,12
n3114,3,10,1,1,11
n4445,3,5,1,1,19
n5775,4,8,2,3,12
n3111,2,5,3,4,19
n4442,3,12,1,1,11
n5774,4,8,2,3,12
n3112,4,9,1,2,20
n4443,3,12,1,1,5
n5773,4,8,2,3,12
n4440,4,12,1,1,23
n5772,4,8,2,3,12
n3110,4,10,1,2,52
n4441,2,6,1,1,12
n5771,4,8,2,3,12
n5770,4,8,2,3,12
n3119,3,9,1,2,22
n3117,2,8,2,8,43
n4448,3,10,2,2,23
n3118,2,8,1,4,4
n4449,5,15,1,1,19
n5779,4,8,2,3,21
n3115,2,5,8,24,18
n4446,3,6,1,1,25
n5778,4,8,2,3,30
n3116,2,6,4,12,25
n4447,2,4,1,1,24
n5777,4,8,2,3,57
g13926,4,8,7,16,8
g30491,6,15,1,4,9
g30492,6,15,1,5,9
g30493,6,15,1,5,9
g30494,6,15,1,5,9
g30495,6,15,1,4,9
g30496,6,15,1,4,9
g30497,6,14,1,4,13
g30498,6,14,1,3,16
n3102,3,10,4,9,44
n4433,2,6,1,6,20
n5765,4,6,2,3,11
n3103,3,12,2,2,38
n4434,3,5,1,1,19
n5764,4,8,2,2,13
n3100,4,9,1,1,21
n4431,3,12,1,1,10
n5763,4,8,2,2,10
n3101,4,10,1,1,45
n4432,3,12,1,1,19
n5762,4,8,2,3,15
n5761,4,8,2,3,15
n4430,2,6,1,1,11
n5760,4,8,2,3,15
g30490,6,15,1,3,9
n3108,3,8,1,2,51
n4439,5,13,1,1,22
n3109,2,4,4,8,9
n3106,2,7,1,2,56
n4437,3,10,2,2,25
n5769,4,8,2,3,12
n3107,3,9,4,8,50
n4438,5,15,1,1,19
n5768,4,8,2,4,17
n3104,2,6,1,1,45
n4435,3,6,1,1,27
n5767,4,8,2,4,27
n3105,2,6,1,1,45
n4436,2,4,1,1,26
n5766,4,8,2,2,7
g30499,6,14,1,5,18
n5790,4,8,2,3,5
g30440,6,15,1,5,9
g1484,4,8,4,9,10
g30441,6,15,1,4,9
g30442,6,15,1,4,9
g30443,6,15,1,5,9
n3135,2,8,2,6,40
n4466,3,7,1,6,20
n5798,4,8,2,3,10
g1489,4,6,3,11,42
n3136,4,15,3,10,42
n4467,4,10,1,2,42
n5797,4,8,2,3,10
n3133,4,10,1,2,18
n4464,3,12,1,1,11
n5796,4,8,2,2,10
n3134,3,10,1,1,11
n4465,3,12,1,1,11
n5795,4,4,2,3,10
n3131,2,5,3,4,19
n4462,5,13,1,1,15
n5794,4,8,2,3,10
n3132,4,9,1,2,20
n4463,2,6,1,1,12
n5793,4,8,2,3,10
n4460,5,16,1,1,14
n5792,4,8,2,3,10
n3130,4,10,1,2,16
n4461,4,11,1,1,14
n5791,4,8,2,3,10
n3139,4,10,1,1,20
n3137,2,8,1,4,4
n4468,2,5,4,4,41
n3138,3,9,1,2,21
n4469,2,4,1,1,48
n5799,4,4,2,3,10
g30444,6,15,1,4,9
g30445,6,15,1,5,9
g30446,6,15,1,4,9
g30447,6,15,1,5,9
g30448,6,15,1,3,9
g30449,6,15,1,5,9
g30430,6,15,1,4,9
g30431,6,14,1,4,13
g30432,6,14,2,6,16
n3124,2,6,1,1,42
n4455,2,6,1,6,20
n5787,4,8,2,3,10
n3125,2,6,1,1,42
n4456,3,5,1,1,12
n5786,4,4,2,3,5
n3122,3,10,4,9,41
n4453,3,12,1,1,11
n5785,4,8,2,3,22
n3123,3,12,2,2,18
n4454,3,12,1,1,23
n5784,4,8,2,3,11
n3120,4,9,1,1,21
n4451,4,12,1,1,23
n5783,4,8,2,3,19
n3121,4,10,1,1,42
n4452,2,6,1,1,12
n5782,4,8,2,3,21
n5781,4,4,2,3,39
n4450,5,13,1,1,22
n5780,4,8,2,3,23
n3128,3,8,1,2,15
n4459,3,10,2,2,16
n3129,2,4,4,8,9
n3126,2,7,1,2,20
n4457,3,6,1,1,18
n5789,4,8,2,3,10
n3127,3,9,4,8,14
n4458,2,4,1,1,17
n5788,4,8,2,3,10
g30433,6,14,1,4,18
g30434,6,12,1,4,8
g30435,2,7,2,7,33
g30436,6,14,1,3,13
g30437,6,14,1,4,13
g30438,6,14,1,5,13
g30439,6,14,1,4,13
n4480,2,5,3,4,41
n3150,2,4,4,8,9
n4481,2,4,1,1,48
g30460,6,14,1,4,4
g30461,6,14,1,4,4
g31793,2,8,0,0,23
g30462,6,14,1,4,4
g30463,6,14,1,4,4
g30464,6,15,1,5,9
g2791,4,10,4,6,20
g30465,6,15,1,3,9
n3157,3,9,1,2,21
n4488,2,6,2,2,4
g1467,4,8,3,6,10
n3158,4,10,1,1,20
n4489,2,6,1,2,33
n3155,2,8,4,9,40
n4486,2,4,1,1,48
g2795,4,10,5,10,20
n3156,2,8,1,4,4
n4487,2,5,1,1,39
n3153,4,9,1,2,14
n4484,4,11,1,2,39
n3154,3,10,1,1,11
n4485,3,12,3,4,38
n3151,4,10,1,2,16
n4482,2,4,1,1,42
g2799,4,10,4,6,20
n3152,4,8,1,2,21
n4483,2,6,2,2,4
n3159,4,10,1,1,39
g30466,6,15,2,6,9
g30467,6,15,1,5,9
g30468,6,15,1,5,9
g30469,6,15,1,4,9
n4470,2,4,1,1,42
g30450,6,15,1,5,9
g30451,6,15,1,5,9
g30452,6,14,1,5,13
g30453,6,14,1,5,16
g1472,4,8,5,10,45
g30454,6,14,1,4,18
n3146,3,10,2,4,26
n4477,2,5,1,1,39
g1478,4,8,4,13,42
n3147,2,7,1,2,20
n4478,2,6,2,2,4
n3144,2,6,1,1,42
n4475,3,12,7,9,38
n3145,2,6,1,1,42
n4476,2,4,1,1,48
n3142,3,12,2,2,14
n4473,2,6,4,8,3
n3143,2,3,3,5,19
n4474,4,11,1,2,39
n3140,4,10,1,1,42
n4471,2,6,2,2,4
n3141,3,10,4,9,41
n4472,2,8,4,4,47
n3148,3,9,4,8,14
