Netlist,LOFi1,LOFi2
g30480,2,7
g30481,6,14
g30482,6,14
g30483,6,14
g30484,6,14
g30485,6,15
g30486,6,15
g30487,6,15
g8916,4,8
n4422,3,7
n5754,4,6
g8915,4,8
n4423,3,5
n5753,4,10
g8918,4,8
n4420,3,12
n5752,4,8
g8917,4,8
n4421,3,12
n5751,4,6
n5750,4,3
n4428,5,13
n4429,4,12
n5759,4,8
n4426,3,10
n5758,4,8
g8919,4,8
n4427,5,15
n5757,4,8
n4424,3,6
n5756,4,7
n4425,2,4
n5755,4,7
g30488,6,15
g30489,6,15
g13906,4,8
g30470,6,15
g30471,6,15
g8920,4,8
g30472,6,15
g30473,6,15
g30474,6,15
g30475,6,15
g30476,6,14
n4411,2,8
n5743,4,10
n4412,3,5
n5742,4,10
n5741,4,8
n4410,2,6
n5740,4,8
n4419,2,6
n4417,5,13
n5749,4,10
n4418,4,12
n5748,4,10
n4415,3,10
n5747,4,10
n4416,5,15
n5746,4,10
n4413,3,6
n5745,4,10
n4414,2,4
n5744,4,10
g30477,6,14
g30478,6,14
g30479,6,12
n3113,4,10
n4444,2,6
n5776,4,8
n3114,3,10
n4445,3,5
n5775,4,8
n3111,2,5
n4442,3,12
n5774,4,8
n3112,4,9
n4443,3,12
n5773,4,8
n4440,4,12
n5772,4,8
n3110,4,10
n4441,2,6
n5771,4,8
n5770,4,8
n3119,3,9
n3117,2,8
n4448,3,10
n3118,2,8
n4449,5,15
n5779,4,8
n3115,2,5
n4446,3,6
n5778,4,8
n3116,2,6
n4447,2,4
n5777,4,8
g13926,4,8
g30491,6,15
g30492,6,15
g30493,6,15
g30494,6,15
g30495,6,15
g30496,6,15
g30497,6,14
g30498,6,14
n3102,3,10
n4433,2,6
n5765,4,6
n3103,3,12
n4434,3,5
n5764,4,8
n3100,4,9
n4431,3,12
n5763,4,8
n3101,4,10
n4432,3,12
n5762,4,8
n5761,4,8
n4430,2,6
n5760,4,8
g30490,6,15
n3108,3,8
n4439,5,13
n3109,2,4
n3106,2,7
n4437,3,10
n5769,4,8
n3107,3,9
n4438,5,15
n5768,4,8
n3104,2,6
n4435,3,6
n5767,4,8
n3105,2,6
n4436,2,4
n5766,4,8
g30499,6,14
n5790,4,8
g30440,6,15
g1484,4,8
g30441,6,15
g30442,6,15
g30443,6,15
n3135,2,8
n4466,3,7
n5798,4,8
g1489,4,6
n3136,4,15
n4467,4,10
n5797,4,8
n3133,4,10
n4464,3,12
n5796,4,8
n3134,3,10
n4465,3,12
n5795,4,4
n3131,2,5
n4462,5,13
n5794,4,8
n3132,4,9
n4463,2,6
n5793,4,8
n4460,5,16
n5792,4,8
n3130,4,10
n4461,4,11
n5791,4,8
n3139,4,10
n3137,2,8
n4468,2,5
n3138,3,9
n4469,2,4
n5799,4,4
g30444,6,15
g30445,6,15
g30446,6,15
g30447,6,15
g30448,6,15
g30449,6,15
g30430,6,15
g30431,6,14
g30432,6,14
n3124,2,6
n4455,2,6
n5787,4,8
n3125,2,6
n4456,3,5
n5786,4,4
n3122,3,10
n4453,3,12
n5785,4,8
n3123,3,12
n4454,3,12
n5784,4,8
n3120,4,9
n4451,4,12
n5783,4,8
n3121,4,10
n4452,2,6
n5782,4,8
n5781,4,4
n4450,5,13
n5780,4,8
n3128,3,8
n4459,3,10
n3129,2,4
n3126,2,7
n4457,3,6
n5789,4,8
n3127,3,9
n4458,2,4
n5788,4,8
g30433,6,14
g30434,6,12
g30435,2,7
g30436,6,14
g30437,6,14
g30438,6,14
g30439,6,14
n4480,2,5
n3150,2,4
n4481,2,4
g30460,6,14
g30461,6,14
g31793,2,8
g30462,6,14
g30463,6,14
g30464,6,15
g2791,4,10
g30465,6,15
n3157,3,9
n4488,2,6
g1467,4,8
n3158,4,10
n4489,2,6
n3155,2,8
n4486,2,4
g2795,4,10
n3156,2,8
n4487,2,5
n3153,4,9
n4484,4,11
n3154,3,10
n4485,3,12
n3151,4,10
n4482,2,4
g2799,4,10
n3152,4,8
n4483,2,6
n3159,4,10
g30466,6,15
g30467,6,15
g30468,6,15
g30469,6,15
n4470,2,4
g30450,6,15
g30451,6,15
g30452,6,14
g30453,6,14
g1472,4,8
g30454,6,14
n3146,3,10
n4477,2,5
g1478,4,8
n3147,2,7
n4478,2,6
n3144,2,6
n4475,3,12
n3145,2,6
n4476,2,4
n3142,3,12
n4473,2,6
n3143,2,3
n4474,4,11
n3140,4,10
n4471,2,6
n3141,3,10
n4472,2,8
n3148,3,9
n4479,4,10
n3149,3,8
g30455,6,12
g30456,6,14
g30457,4,10
g30458,5,9
g30459,2,7
n3171,4,8
n3172,4,9
n3170,4,10
g2771,4,10
n3179,4,10
g2775,4,10
g1442,4,8
n3177,2,6
n3178,3,9
g1448,4,8
n3175,3,12
g2779,4,6
n3176,2,8
n3173,3,10
n3174,2,4
n3160,3,10
n4491,4,10
n3161,3,12
n4492,2,5
n4490,2,7
g2783,4,10
g2787,4,10
n3168,3,8
n4499,3,12
n3169,2,4
n3166,2,7
n4497,2,6
g1454,4,8
n3167,3,9
n4498,4,11
n3164,2,6
n4495,2,6
n3165,3,10
n4496,2,8
n3162,2,3
n4493,2,4
n3163,2,6
n4494,2,4
n3193,4,9
n3194,3,9
n3191,4,10
n3192,4,7
n3190,2,4
n3199,4,10
n3197,2,8
n3198,3,9
n3195,2,6
n3196,2,8
g2759,4,9
g11349,4,8
n3182,3,12
n3183,2,3
n3180,4,8
n3181,3,10
g1430,4,8
g2763,4,9
n3188,3,10
n3189,3,8
g1437,4,4
n3186,3,10
n3187,2,7
g2767,4,10
n3184,2,6
n3185,2,4
g1404,4,8
g2735,4,9
g2741,4,8
g1413,4,8
g2748,4,4
g2712,4,8
g2715,4,9
g2719,4,9
g13966,4,8
g2724,4,4
g2729,4,9
g2811,4,10
g2815,4,10
g2819,4,10
g5092,4,6
g5097,4,10
g2827,4,6
DFF_480_n1,4,8
g5069,4,8
g6395,4,10
g5073,4,8
g5077,4,7
g2803,4,10
g2807,4,6
g5084,4,10
g5080,4,6
g6377,4,8
g5046,4,9
n9236,4,8
test_si100,0,0
g5052,4,9
g5057,4,6
g6386,4,8
g5062,4,8
g6390,4,7
g5022,4,8
g5029,4,10
n9255,4,9
DFF_514_n1,4,8
n9245,4,8
g5037,4,10
n9247,4,7
g5033,4,9
n9240,4,6
g5041,4,8
g6336,4,8
g17423,4,8
n9273,4,8
n9274,4,8
g5008,4,8
n9276,4,8
g30408,6,15
g30409,6,15
n9280,4,8
g30400,6,15
g30401,6,15
g30402,6,15
g30403,6,15
g30404,6,15
g30405,6,15
g30406,6,15
g30407,6,15
n9267,4,8
g5016,4,10
g5011,4,10
n9262,4,8
n9265,4,9
g6311,4,10
g30420,6,15
g30421,6,15
n9294,4,8
n9295,4,8
g30422,6,15
g30423,6,15
g30424,6,15
g30425,6,15
g30426,6,15
g30427,6,15
g30428,6,15
g30429,6,15
g30410,6,14
n9281,4,4
g30419,6,15
g28105,6,18
g30411,6,13
g30412,6,14
g30413,6,12
g30414,2,7
g28102,6,18
g30415,6,14
g30416,6,14
g30417,6,14
g30418,6,14
n5710,4,7
n5718,4,6
n5717,4,6
