Netlist,LOFi1,LOFi2,LOFo1,LOFo2,PI
conf8_5_,5,10,5,0,9
n5754,4,4,1,0,2
n5753,4,4,1,0,2
s2_data_o[15],4,16,0,0,3
n5752,4,4,1,0,2
n5751,4,4,1,0,2
n5750,4,4,1,0,2
n10838,4,12,1,0,11
n10839,4,12,1,0,11
n10836,4,12,1,0,11
n10837,4,12,1,0,16
n10834,3,15,3,0,10
n5759,4,4,1,0,2
n10835,3,15,2,0,15
n5758,4,4,1,0,2
n10832,3,8,1,0,11
n5757,4,4,1,0,2
n10833,3,15,2,0,15
n5756,4,4,1,0,2
n10830,2,2,1,0,12
n5755,4,4,1,0,2
n10831,2,6,1,0,12
conf12_3_,5,10,5,0,9
s15_addr_o[2],4,16,3,0,3
conf8_6_,5,10,5,0,9
n5743,4,4,1,0,2
n5742,4,4,1,0,2
n5741,4,4,1,0,2
s2_data_o[14],4,16,0,0,3
n5740,4,4,1,0,2
n10829,4,6,1,0,12
n10827,3,6,2,0,12
n10828,2,4,2,0,13
n10825,2,4,1,0,14
n10826,5,9,1,0,13
n5749,4,4,1,0,2
n10823,3,15,3,0,15
n5748,4,4,1,0,2
n10824,3,5,2,0,13
n5747,4,4,1,0,2
n10821,3,6,1,0,12
n5746,4,4,1,0,2
n10822,3,7,2,0,16
n5745,4,4,1,0,2
n5744,4,4,1,0,2
n10820,3,7,1,0,12
conf12_4_,5,10,5,0,9
s15_addr_o[3],4,16,3,0,3
conf8_3_,5,10,5,0,9
s2_data_o[17],4,16,0,0,3
n3113,1,2,3,0,3
n5776,4,4,1,0,2
n3114,1,2,4,0,3
n5775,4,4,1,0,2
n3111,1,2,3,0,3
n5774,4,4,1,0,2
n3112,1,5,1,0,5
n5773,4,4,1,0,2
n5772,4,4,1,0,2
n10818,3,8,1,0,11
n3110,1,3,3,0,11
n5771,4,4,1,0,2
n10819,3,11,3,0,10
n5770,4,4,1,0,2
n10816,2,4,1,0,13
n10817,3,15,3,0,11
n10814,3,7,1,0,12
n10815,3,15,6,0,10
n3119,1,2,3,0,5
n10812,5,14,1,0,11
